Access to water (in Hrs),Access to electricity,Access to cellphone,Education completed,Wealth Index Factor Score,Latitude,Longitude,Location Name
1.27,11,12,36.8852459016,-0.37051,22.440583,90.448453,"Kuripaika, Patuakhali Sadar Subdistrict, Bangladesh"
0.7000000000000001,2,3,10.6557377049,-0.41699,22.091072,90.499789,"Galachipa, Bangladesh"
0.62,2,3,6.5573770492,-0.24751,22.285703,90.477117,"Bakulbaria, Galachipa, Bangladesh"
0.03,1,1,0.0,-0.63563,21.933181,90.206191,"Patuakhali District, -, Bangladesh"
0.42,3,3,13.1147540984,0.113255,22.285431,90.371005,"Patuakhali District, Patuakhali -, Bangladesh"
0.97,8,7,29.5081967213,0.228905,22.355524,90.36386,"Bauphal Patuakhali Highway, Patuakhali District, Patuakhali - 8600, Bangladesh"
0.17,1,2,0.0,-0.5101800000000001,22.44344,90.086175,"Jhalokathi District, - 8550, Bangladesh"
2.08,10,9,49.1803278689,-0.444945,22.811281,90.031264,"Daulbaridobra Union, Nazirpur Subdistrict, Bangladesh"
1.33,3,1,12.2950819672,-0.9488000000000001,22.644118,89.984122,"Durgapur Union, -, Bangladesh"
3.83,7,10,31.1475409836,-1.025755,22.778483,90.018127,"Dirgha Union, Nazirpur Subdistrict, Bangladesh"
4.0,10,12,36.8852459016,-1.218795,22.451479,89.96441,"Balipara Union, -, Bangladesh"
1.42,4,6,10.6557377049,-1.254235,22.053795,89.968962,"Barguna District, Patharghata -, Bangladesh"
4.92,9,7,26.2295081967,-0.9511900000000001,22.813022,90.191408,"Barisal District, Barishal Division, Bangladesh"
23.0,22,21,56.5573770492,-1.19268,22.691392,90.389866,"Barishal-Bhola Highway, Barisal Sadar Subdistrict, Barisal District - 8200, Bangladesh"
1.83,4,5,29.5081967213,-1.07757,22.691265,90.640443,"Bhola District, Bhola -, Bangladesh"
7.83,10,8,7.3770491803,-1.111415,22.675413,90.649969,"Bhola District, Bhola - 8300, Bangladesh"
1.1,6,5,27.868852459,-0.6863,22.203506,90.769957,"Bhola District, Charfasson - 8340, Bangladesh"
0.8,5,6,11.4754098361,-0.254585,22.423514,90.855505,"Bhola District, Tazumoddin -, Bangladesh"
1.42,9,11,17.2131147541,-0.6688900000000001,22.647414,90.187342,"Barisal-Pirojpur Highway, Jhalokathi District, Jhalokathi - 8400, Bangladesh"
0.58,4,5,0.0,-0.5764900000000001,22.416516,90.559619,"Dumki - Bauphal - Dashmina - Galachipa Highway, Patuakhali District, Bauphal - 8624, Bangladesh"
1.33,10,7,-95.9016393443,-0.39390000000000003,22.156934,90.413762,"Patuakhali District, Golachipa -, Bangladesh"
0.72,8,8,40.1639344262,0.08348000000000001,22.354346,90.361388,"Bauphal Patuakhali Highway, Patuakhali District, Patuakhali - 8600, Bangladesh"
1.0,8,9,9.0163934426,-0.44625499999999996,22.485769,90.082947,"Pirojpur District, Bhandaria - 8550, Bangladesh"
0.27,2,3,7.3770491803,0.048350000000000004,22.746376,90.103699,"Swarupkathi-Kuriana-Atghar Road, Atghar Kuriana, Swarupkathi - 8530, Bangladesh"
0.25,3,2,0.0,-0.6683300000000001,22.721949,90.379553,"Barisal Sadar Subdistrict, Barisal District - 8200, Bangladesh"
0.30000000000000004,4,3,6.5573770492,-0.18351,22.705225,90.37569,"Port Road, Barisal Sadar Subdistrict, Barisal District - 8200, Bangladesh"
2.75,10,10,12.2950819672,-0.5987600000000001,22.691535000000002,90.356402,"Jumir Khan Road, Barisal Sadar Subdistrict, Barisal District - 8200, Bangladesh"
7.58,16,15,47.5409836066,-0.10962000000000001,22.714502,90.366331,"Barisal Sadar Subdistrict, Barisal District - 8200, Bangladesh"
5.83,15,15,32.7868852459,-0.9877500000000001,22.717375,90.331419,"Barisal Sadar Subdistrict, Barisal District - 8200, Bangladesh"
0.75,7,7,3.2786885246,-0.34013000000000004,22.182203,92.17762,"Bandarban Hill District, Bandarban -, Bangladesh"
0.67,3,3,0.0,0.0315,23.9005,91.183934,"Brahmanbaria, Brahmanbaria Sadar Upazila, Bangladesh"
0.08,1,1,9.0163934426,1.62481,23.971862,91.210736,"Brahmanbaria District, Champaknagar - 3450, Bangladesh"
1.67,7,8,36.8852459016,-0.044295,23.909941,91.103312,"Brahmanbaria District, Brahmanbaria - 3400, Bangladesh"
1.0,5,5,8.1967213115,-0.38463,24.033775,91.078271,"Brahmanbaria District, Ashuganj - 2350, Bangladesh"
0.33,1,1,4.9180327869,-0.22624000000000002,23.177532,90.820205,"Chandpur District, Subidpur -, Bangladesh"
1.5,11,10,13.1147540984,-0.7036300000000001,23.28997,90.809627,"Chandpur District, Saidpur -, Bangladesh"
0.25,2,2,0.0,-0.54054,23.395942,90.848482,"Gauripur - Kachua Road, Chandpur District, Palakhal - 3633, Bangladesh"
2.0,12,16,22.9508196721,-0.53105,23.421414,90.639666,"Chandpur District, Gajra -, Bangladesh"
0.58,5,5,11.4754098361,0.17686000000000002,22.195798,91.894607,"Chattogram District, - 4376, Bangladesh"
0.2,2,2,8.1967213115,-0.33857000000000004,22.072059,91.878742,"Chattogram District, - 4393, Bangladesh"
1.58,12,15,61.4754098361,-0.16083,22.348601,91.959819,"Preetilota Road, Chattogram District, Patiya -, Bangladesh"
0.33,3,3,6.5573770492,-0.047834999999999996,22.538351,91.836292,"Chittagong - Rangamati Road, Chattogram District, Raozan - 4340, Bangladesh"
0.30000000000000004,3,3,14.7540983607,0.29894000000000004,22.432147,91.84893,"Chattogram District, Hathazari Upazila - 4335, Bangladesh"
0.33,3,3,8.1967213115,-0.34121,22.848709,91.501536,"Chattogram District, - 4324, Bangladesh"
0.67,3,4,6.5573770492,-0.44358000000000003,22.308622,91.848356,"Chattogram District, Chattogram - 4000, Bangladesh"
0.52,5,6,10.6557377049,-0.6393449999999999,22.344994,91.890215,"Chattogram District, Chattogram -, Bangladesh"
1.38,10,10,16.393442623,-0.07263,22.479059,91.913243,"Chattogram District, -, Bangladesh"
3.85,18,21,12.2950819672,-0.050370000000000005,22.460134,91.471237,"Chattogram District, Sandwip -, Bangladesh"
0.8300000000000001,7,7,0.0,-0.11877000000000001,22.07245,92.075768,"Chattogram District, Satkania - 4386, Bangladesh"
0.25,3,3,3.2786885246,0.022180000000000002,23.341949,90.966795,"Cumilla District, -, Bangladesh"
4.52,21,21,10.6557377049,-0.22636,23.663781,91.08275,"Cumilla District, Sidlai - 3526, Bangladesh"
0.37,3,3,1.6393442623,-0.5867300000000001,23.507803,91.052861,"Burichang Upazila, Bangladesh"
4.3,15,13,18.0327868852,-0.37533000000000005,23.451005,91.004537,"Cumilla District, -, Bangladesh"
1.08,6,9,8.1967213115,-0.482465,23.253437,91.241721,"Cumilla District, -, Bangladesh"
0.58,2,2,3.2786885246,0.191855,23.406869,91.231943,"Cumilla District, Galiara - 3504, Bangladesh"
0.67,4,6,3.2786885246,-0.38992000000000004,23.657267,91.039356,"Cumilla District, - 3526, Bangladesh"
1.08,7,6,9.8360655738,-0.17172,23.69461,90.841595,"Cumilla District, Homna - 3546, Bangladesh"
0.5,4,4,9.8360655738,0.05188,23.487165,91.217459,"Cumilla District, Cumilla -, Bangladesh"
0.25,3,3,4.9180327869,0.034,23.180926,91.088629,"Khila -Mella - Ashirpar Road, Cumilla District, Angaria - 3623, Bangladesh"
1.08,9,12,12.2950819672,-0.291135,23.612691,90.90789,"Cumilla District, Muradnagar - 3540, Bangladesh"
2.2,14,15,31.9672131148,-0.0351,23.155552,91.12637,"Cumilla-Laksham-Sonaimuri-Chowmuhani-Noakhali Highway, Cumilla District, Nather Patua - 3582, Bangladesh"
1.58,11,11,30.3278688525,-0.02511,23.579788,90.847662,"Cumilla District, -, Bangladesh"
2.83,10,14,40.9836065574,-0.288785,21.841257,92.064185,"Chattogram-Coxs Bazar Highway, Cox's Bazar District, Baraitoli -, Bangladesh"
1.5,10,11,16.393442623,-0.31148000000000003,21.545006,92.011641,"Cox's Bazar District, Cox's Bazar - 4700, Bangladesh"
0.5,4,5,11.4754098361,0.29168000000000005,21.643898,91.967913,"Cox's Bazar District, -, Bangladesh"
34.58,28,23,34.4262295082,-1.05697,21.078928,92.140053,"Camp 23, Inani-Shamlapur, Rohingya Refugee Camp in Bangladesh -, Bangladesh"
0.92,3,2,9.0163934426,-0.14921,23.089339,91.509335,"Sattanagar Road, Feni District, -, Bangladesh"
3.58,8,9,33.606557377,-0.48757000000000006,23.016287,91.406472,"Feni District, Feni - 3900, Bangladesh"
2.5300000000000002,19,19,-100.0,1.52163,23.14609,91.398905,"Feni District, Parshuram -, Bangladesh"
4.33,18,18,80.3278688525,1.207865,22.855415,91.406385,"Feni - Sonagazi - Muhuriganj Project Road, Motiganj, Sujapur - 3930, Bangladesh"
1.08,5,5,13.9344262295,0.9042100000000001,23.375718,91.931921,"Chengi, Khagrachari Hill District, Bangladesh"
6.33,19,18,64.7540983607,1.10874,23.037592,90.848451,"Lakshmipur District, Ramganj Upazila -, Bangladesh"
0.58,3,3,17.2131147541,1.5389,23.008892,90.884931,"Lakshmipur District, Dilshad Pur -, Bangladesh"
6.68,28,28,7.3770491803,0.9199700000000001,22.932201,90.736281,"Lakshmipur District, -, Bangladesh"
0.08,1,1,7.3770491803,1.41347,22.926246,91.114298,"Begumganj Upazila, Chowmuhani - 0321, Bangladesh"
0.08,2,2,16.393442623,1.36475,22.584458,91.142102,"Noakhali District, -, Bangladesh"
0.17,2,2,16.393442623,1.051545,22.786731,91.202031,"Noakhali District, Noakhali -, Bangladesh"
0.67,2,2,13.9344262295,1.79218,22.861805,91.211075,"Noakhali District, Kabirhat - 3862, Bangladesh"
4.42,16,16,-94.262295082,1.77041,22.658197,92.037981,"Kaukhali, Rangamati Hill District, Bangladesh"
7.28,26,23,100.0,0.901905,23.970201,91.10179,"Brahmanbaria District, Brahmanbaria - 3400, Bangladesh"
0.17,2,2,4.0983606557,1.1996,23.883467,90.95895,"Brahmanbaria District, Nabinagar - 3410, Bangladesh"
1.58,10,8,32.7868852459,0.8068500000000001,23.216973,90.665393,"Z1412, Chandpur District, Chandpur - 3602, Bangladesh"
1.33,6,6,29.5081967213,1.384885,23.419972,90.625054,"Chandpur District, Chengarchar -, Bangladesh"
3.75,18,16,-102.4590163934,1.725245,22.499116,91.443247,"Sondip, রহমতপুর, Sandwip, Bangladesh"
3.38,24,23,75.4098360656,0.357485,23.687072,90.767151,"Cumilla District, Homna - 3546, Bangladesh"
0.37,3,4,16.393442623,0.75077,21.74813,92.080149,"Chattogram-Coxs Bazar Highway, Cox's Bazar District, Chakaria - 4740, Bangladesh"
0.58,6,5,14.7540983607,-0.060180000000000004,21.511653,91.964957,"Cox's Bazar District, Moheshkhali -, Bangladesh"
3.83,15,15,40.1639344262,-0.6429100000000001,23.000689,91.404457,"Feni District, Feni - 3900, Bangladesh"
3.58,17,15,64.7540983607,-0.28318000000000004,23.091378,91.976041,"R162, Khagrachari Hill District, Khagrachhari -, Bangladesh"
1.17,3,3,4.0983606557,-1.12092,22.929491,90.85391,"Lakshmipur District, Lakshmipur - 3700, Bangladesh"
2.63,14,12,42.6229508197,-1.05078,22.928646,91.134962,"Begumganj Upazila, Hazipur - 0321, Bangladesh"
3.5,17,16,28.6885245902,-1.0716,23.025383,91.080786,"Begumganj Upazila, Sonaimuri -, Bangladesh"
2.08,8,7,22.9508196721,-1.09167,22.635149,92.188262,"Rangamati Hill District, Rangamati - 0351, Bangladesh"
2.42,6,7,18.0327868852,-0.8922700000000001,22.387797,91.814114,"Bayejid Bostami, Chattogram - 4210, Bangladesh"
1.58,6,6,11.4754098361,-0.9335700000000001,22.351414,91.826703,"Chattogram District, Chattogram - 4200, Bangladesh"
0.75,5,4,15.5737704918,0.62299,22.334058,91.842549,"Chattogram District, Chattogram - 4000, Bangladesh"
4.33,19,14,8.1967213115,-1.00699,22.379216,91.846664,"Road No. 07, Chattogram District, Chattogram - 4212, Bangladesh"
2.5,8,7,4.9180327869,-0.9991200000000001,22.36171,91.849321,"Chattogram District, Chattogram - 4208, Bangladesh"
5.0,15,10,7.3770491803,-1.00755,22.283092,91.775703,"Bandar, Chattogram - 4218, Bangladesh"
9.5,28,22,15.5737704918,-0.88146,22.339005,91.808388,"Chattogram District, Chattogram - 4100, Bangladesh"
6.33,9,10,13.9344262295,-0.79266,22.329686,91.82487,"M/s. Khaleque & Brothers, Darogahat Road, East Madarbari, Chattogram, Kamalgate, Agrabad, Chattogram - 4000, Bangladesh"
2.08,11,11,32.7868852459,-0.42018000000000005,22.332378,91.782403,"Artillery Road, HaliShohor, Chattogram - 4216, Bangladesh"
0.58,5,5,10.6557377049,-0.38781000000000004,22.349132,91.838284,"Sirajuddowla Road, Chattogram District, Chattogram - 4000, Bangladesh"
3.67,17,17,21.3114754098,-0.43599000000000004,22.336602,91.834049,"Road 1, Chattogram District, Chattogram - 4000, Bangladesh"
0.42,2,2,9.0163934426,-0.705225,22.362932,91.796374,"Khulshi, Chattogram - 4505, Bangladesh"
0.42,3,3,8.1967213115,-0.33451000000000003,22.348849,91.809649,"Chattogram District, Chattogram - 4225, Bangladesh"
1.83,10,9,42.6229508197,-0.221015,22.341069,91.784097,"Road-2, HaliShohor, Chattogram - 4219, Bangladesh"
1.17,11,11,41.8032786885,-0.84184,22.371527,91.8136,"Chittagong Mohila Technical Training Center, Polytechnic Road, Bayejid Bostami, Chattogram - 4213, Bangladesh"
1.42,7,7,20.4918032787,-0.8813900000000001,22.253995,91.803506,"Chattogram District, Chattogram - 4222, Bangladesh"
7.83,7,9,9.8360655738,-1.033865,23.927149,90.174984,"Dhaka District, Dhamrai Subdistrict - 1350, Bangladesh"
0.42,4,3,2.4590163934,-0.9689800000000001,23.739849,90.273257,"Dhaka District, - 1313, Bangladesh"
3.25,20,19,77.0491803279,-0.48112000000000005,23.6671,90.411189,"Jhilmil Residential, - 1204, Bangladesh"
1.5,14,12,28.6885245902,-0.36619,23.885476,90.289715,"Dhaka District, Basaid - 1341, Bangladesh"
5.42,18,16,28.6885245902,-0.835,23.907445,90.309855,"Jirabo, Savar - 1341, Bangladesh"
2.58,10,10,8.1967213115,-1.13081,23.338136,89.730767,"Shekhar, Boalmari Upazila, Bangladesh"
6.17,16,16,63.9344262295,0.7526600000000001,23.596106,89.584005,"Faridpur District, -, Bangladesh"
7.58,28,25,76.2295081967,-0.38880000000000003,23.393074,89.783604,"Faridpur District, Sonapur -, Bangladesh"
0.08,1,1,3.2786885246,-0.93432,24.138417,90.416373,"Dhaka-Mymensingh, Mawna, - 1702, Bangladesh"
1.63,8,7,22.131147541,-0.218055,24.026601,90.588537,"Gazipur District, -, Bangladesh"
8.58,24,23,48.3606557377,-0.8655100000000001,24.176305,90.50371,"Sreepur, Sreepur Upazila (Gazipur), Bangladesh"
1.33,5,4,13.1147540984,-0.36899000000000004,23.10076,89.821057,"Kashiani Upazila, Bangladesh"
3.5300000000000002,14,16,58.1967213115,-0.295255,23.247003,89.907728,"Gopalganj District, Muksudpur - 8140, Bangladesh"
6.0,29,26,-78.6885245902,1.02419,25.282159,89.78727,"Hatebhanga, Dewanganj Upazila, Bangladesh"
1.5,12,12,63.1147540984,0.83584,24.754579,89.896732,"Jamalpur District, Mahadan Union -, Bangladesh"
3.0,23,22,91.8032786885,1.01869,24.884573,89.740785,"Jamalpur District, Gunaritala -, Bangladesh"
0.33,1,1,0.0,0.5883,24.506715,90.840483,"Karimganj Upazila, Kishoreganj District, Bangladesh"
1.0,14,14,35.2459016393,1.00326,24.387354,90.866996,"Kishoreganj District, Karimganj Upazila -, Bangladesh"
0.5,2,2,14.7540983607,1.51798,24.362242,90.967685,"Kishoreganj District, -, Bangladesh"
0.0,1,1,7.3770491803,1.18091,23.437457,90.133216,"Shibchar Upazila, Bangladesh"
4.25,16,15,57.3770491803,0.08312000000000001,23.839892,89.935902,"Manikganj District, Nali -, Bangladesh"
2.5,11,11,57.3770491803,-0.43354000000000004,23.929601,90.054152,"Dhankora, Saturia Subdistrict, Bangladesh"
1.5,7,6,14.7540983607,0.49383000000000005,23.552557,90.629939,"Munshiganj District, Gazaria - 1510, Bangladesh"
3.08,15,14,65.5737704918,-0.297555,23.639619,90.400212,"Munshiganj District, -, Bangladesh"
2.83,16,18,48.3606557377,-0.245365,23.542224,90.477999,"Munshiganj District, Tongibari Upazila - 1502, Bangladesh"
5.25,16,17,-86.0655737705,-0.41725,24.735093,90.543461,"Mymensingh - kishoreganj Highway, Mymensingh District, Ishwarganj - 2270, Bangladesh"
4.67,18,18,52.4590163934,-0.63571,24.62497,90.592487,"Ucakhila Road, Mymensingh District, Kathal - 2280, Bangladesh"
2.0,9,4,9.8360655738,-1.000055,24.764044,90.362795,"Mymensingh District, Mymensingh - 2200, Bangladesh"
6.25,15,11,13.9344262295,-1.045615,24.560352,90.578894,"Kanurampur-Modhupur Road, Mymensingh District, Modhupur -, Bangladesh"
2.33,14,13,49.1803278689,-0.239065,24.8786,90.362799,"Rahinganj, Phulpur Upazila, Bangladesh"
1.5,13,13,28.6885245902,0.092115,24.622433,90.466806,"Mymensingh-Gafargaon Highway, Mymensingh District, Balipara - 2220, Bangladesh"
2.42,12,12,22.9508196721,-0.973205,23.638455,90.488824,"Fatullah, Narayanganj - 1401, Bangladesh"
1.83,8,10,21.3114754098,-0.9629949999999999,23.690025,90.49838,"Matin Road, Shiddhirganj, Narayanganj - 1430, Bangladesh"
15.75,26,26,54.0983606557,-0.36696,24.1354,90.827319,"Narsingdi District, Belabo - 1640, Bangladesh"
1.08,9,9,24.5901639344,-0.8828400000000001,23.934481,90.750293,"Narsingdi District, - 1602, Bangladesh"
3.08,15,14,58.1967213115,-0.07095,23.875405,90.882301,"Char Madhua, Raipura Upazila, Bangladesh"
2.33,9,9,21.3114754098,-0.61477,23.972383999999998,90.700755,"Narsingdi District, - 1600, Bangladesh"
0.25,1,1,0.0,-0.42273000000000005,24.775704,91.100044,"Netrokona District, Khaliajuri Upazila -, Bangladesh"
4.33,24,25,83.606557377,-0.21264000000000002,24.60061,90.815498,"Netrokona District, Kendua Upazila -, Bangladesh"
4.42,18,17,65.5737704918,0.13252,24.881101,90.818486,"Netrokona District, Sahata -, Bangladesh"
0.8300000000000001,5,5,19.6721311475,-1.02764,23.714073,89.738859,"Dhaka-Faridpur Highway;, Rajbari District, Goalanda - 7710, Bangladesh"
1.63,10,10,10.6557377049,-0.9650200000000001,23.756238,89.65517,"Rajbari District, Rajbari - 7700, Bangladesh"
5.67,16,20,37.7049180328,-0.9555549999999999,23.075546,90.490028,"Goshairhat, Gosairhat Upazila, Bangladesh"
1.78,11,6,27.0491803279,-0.9006700000000001,23.39507,90.252006,"Chan Mia Store, Service Area 2 Road, Shariatpur District, Naodoba - 8010, Bangladesh"
2.17,11,11,27.0491803279,-0.47316,25.168565,90.165667,"Sherpur District, Nunni Paragon -, Bangladesh"
1.83,10,10,5.737704918,-1.1879,25.00332,90.044329,"Bhatsala, Sherpur Sadar Upazila, Bangladesh"
1.75,8,7,17.2131147541,-1.07974,24.514808,89.821686,"Bhuapur, Bhuapur Upazila, Bangladesh"
5.25,19,18,47.5409836066,-1.10829,24.411616,90.056668,"Tangail District, -, Bangladesh"
5.25,16,16,32.7868852459,-0.5341,24.5242,89.900947,"Tangail District, Alamnagar - 1990, Bangladesh"
3.0,0,14,37.7049180328,-1.1479,24.660061,90.016002,"Tangail District, Madhupur - 1996, Bangladesh"
5.15,21,20,32.7868852459,-0.9404600000000001,24.064594,89.99445,"Tangail District, Anaitara -, Bangladesh"
0.33,2,2,6.5573770492,1.172685,23.775411,90.420122,"Gulshan, Dhaka - 1212, Bangladesh"
0.33,2,3,8.1967213115,0.007,23.862663,90.406831,"Azampur, - 1276, Bangladesh"
0.8300000000000001,4,4,29.5081967213,0.47859,23.752465,90.454828,"Trimohani, Nasirabad - 1214, Bangladesh"
0.42,2,2,1.6393442623,0.378895,23.825673,90.246501,"Manikganj District, - 1347, Bangladesh"
0.42,0,2,0.0,-0.9231900000000001,23.876784,90.374347,"Diabari, - 1231, Bangladesh"
0.17,2,2,2.4590163934,0.9742900000000001,23.992782,90.30636,"Gazipur District, Kashimpur - 1751, Bangladesh"
0.08,1,1,4.0983606557,-0.6260800000000001,23.9228,90.398158,"Gazipura, Tongi - 1711, Bangladesh"
0.17,1,1,7.3770491803,0.68608,24.126122,90.567652,"Gazipur District, Kapashia -, Bangladesh"
0.33,2,2,0.0,-0.222575,25.178624,89.759821,"Z4614, Jamalpur District, Dewanganj -, Bangladesh"
3.42,9,9,19.6721311475,-0.48216000000000003,24.806842,89.859469,"Jamalpur- Sharishabari Rd, Jamalpur District, Meshta -, Bangladesh"
9.58,15,17,30.3278688525,-1.12991,24.448373,90.792936,"Kishoreganj District, Kishoreganj - 2300, Bangladesh"
2.92,4,8,13.9344262295,-0.652175,23.85803,90.004828,"Girls' School Road, Manikganj District, Manikganj - 1800, Bangladesh"
2.5,15,15,46.7213114754,-0.5584300000000001,24.750614,90.417709,"Mymensingh District, Mymensingh - 2200, Bangladesh"
1.25,6,5,6.5573770492,-0.7586900000000001,23.8356,90.61485,"Dhaka-Sylhet Highway, Narayanganj District, - 1604, Bangladesh"
0.17,1,1,7.3770491803,0.8664200000000001,23.632245,90.479095,"Narayanganj District, Narayanganj - 1401, Bangladesh"
0.5,1,1,4.0983606557,-0.9185300000000001,23.687967,90.515427,"Shiddhirganj, Narayanganj - 1431, Bangladesh"
0.25,2,2,1.6393442623,-0.44425499999999996,23.795897,90.531262,"Narayanganj District, Rupganj - 1460, Bangladesh"
0.25,2,2,5.737704918,-0.5625300000000001,23.946827,90.633842,"Palash - Ghorashal Road, Narsingdi District, Palash - 1610, Bangladesh"
0.13,1,2,0.0,-0.6599400000000001,23.648867,89.539533,"Nawabpur, Baliakandi Upazila, Bangladesh"
0.08,1,1,9.0163934426,-0.51639,25.030245,90.012601,"Sherpur - Jhinaigati Road, Sherpur District, Sherpur - 2100, Bangladesh"
7.58,22,22,45.9016393443,-0.942545,24.647376,90.001991,"Tangail District, - 1996, Bangladesh"
6.5,20,20,87.7049180328,-0.7199300000000001,23.81812,90.426784,"Road # 9, Kuril, Dhaka - 1229, Bangladesh"
0.17,0,1,3.2786885246,-1.23218,23.714054,90.412552,"M/S Bismillah Motors, Auto parts store, Nawabpur Road, Dholaikhal, Dhaka, Dholaikhal Road, Dayaganj, Dhaka - 1100, Bangladesh"
17.3,29,27,74.5901639344,-0.7391800000000001,23.6951,90.436078,"Faruq Hotel and Restaurant, Dhaka - Mawa Hwy, Dhaka, N8, Dholairpar, Dhaka - 1232, Bangladesh"
1.83,12,11,17.2131147541,-0.513745,23.762841,90.421687,"Rampura, Dhaka - 1219, Bangladesh"
0.17,1,1,0.0,-0.06507,23.713687,90.419794,"Koarti Tola Road, Narinda, Dhaka - 1203, Bangladesh"
0.25,1,2,6.5573770492,-0.20306000000000002,23.692752,90.436891,"Jurain, Dhaka - 1236, Bangladesh"
0.75,5,6,17.2131147541,0.09896,23.75523,90.447078,"Nandipara, Dhaka - 1214, Bangladesh"
0.33,2,3,0.0,0.36715000000000003,23.716604,90.391039,"Water Works Road, Chawkbazar, Dhaka - 1211, Bangladesh"
1.25,6,7,31.9672131148,-0.26464000000000004,23.788071,90.351773,"Tolarbag, Dhaka - 1916, Bangladesh"
0.92,5,8,27.868852459,-0.43953000000000003,23.764587,90.37948,"Lalmatia, Dhaka - 1207, Bangladesh"
1.67,3,3,4.0983606557,-1.05282,23.836814,90.352385,"Mirpur Cantonment, Dhaka - 1216, Bangladesh"
2.33,6,9,11.4754098361,-1.174965,23.823018,90.377734,"Bhashantek, Dhaka - 1206, Bangladesh"
5.37,17,17,28.6885245902,-0.55332,23.745948,90.406365,"Eastern Ramna View, 98/1 Old Elephant Road, Mogbazar, Dhaka - 1217, Bangladesh"
4.0,11,10,19.6721311475,-1.0686,23.759999,90.431347,"Banasree, Dhaka - 1219, Bangladesh"
4.08,0,10,26.2295081967,-1.179035,23.730205,90.428459,"Atish Dipankar Road, Golapbag, Dhaka - 1203, Bangladesh"
5.42,12,7,14.7540983607,-1.120075,23.687254,90.407643,"Khejurbag, Char Mirerbag - 1310, Bangladesh"
11.17,0,19,20.4918032787,-1.208265,23.719009,90.420307,"Hakthola Road, Tikatuli, Dhaka - 1203, Bangladesh"
1.0,3,4,12.2950819672,-0.6758500000000001,23.759203,90.398242,"Tejgaon, Dhaka - 2015, Bangladesh"
3.48,16,19,51.6393442623,-0.10362,23.86779,90.392102,"Road 2, Uttara, - 1231, Bangladesh"
6.58,20,22,69.6721311475,-0.40946000000000005,22.748157,89.797835,"Bagerhat District, Bagerhat -, Bangladesh"
1.0,6,5,24.5901639344,-0.16889,22.812549,89.879051,"Bagerhat District, Hizla - 9360, Bangladesh"
0.42,3,4,7.3770491803,-0.50917,22.652121,89.87773,"Bagerhat District, Kachua -, Bangladesh"
0.17,2,2,0.8196721311,0.284915,22.429435,89.674948,"Bagerhat District, -, Bangladesh"
